vel_x (m/s),vel_y (m/s),vel_z (m/s)
7.072928662068304284e+00,-7.070585206393473321e+00,8.400997125344812546e-05
7.072932172623496605e+00,-7.070698463987133309e+00,-1.179596140500952222e-05
7.072878142058417694e+00,-7.070733792492315928e+00,4.442525737564223792e-05
7.072819557136239332e+00,-7.070716862732189689e+00,-5.420838064533960946e-05
7.072831242513046845e+00,-7.070733147613347924e+00,-6.417383036414381521e-05
7.072857506849263842e+00,-7.070643773260423259e+00,-5.162953785388586271e-05
7.072847632703910037e+00,-7.070578353777532854e+00,-1.001121648203669558e-04
7.072819469476265830e+00,-7.070562285757946874e+00,-5.337618314772793904e-05
7.072826319892268288e+00,-7.070584968334965303e+00,-5.447471523705685759e-05
7.072786899531093852e+00,-7.070561905022609395e+00,-8.625173324536597984e-05
7.072824588773452881e+00,-7.070518225780864974e+00,-4.417966901590147325e-05
7.072826414025479735e+00,-7.070521109838222351e+00,-1.927796021770288547e-04
7.072892866252942667e+00,-7.070508513742153944e+00,2.005414963540945884e-05
7.072949477676644392e+00,-7.070457382612041819e+00,3.722936122900586016e-05
7.073002710515353897e+00,-7.070425256679526704e+00,4.157839132317960387e-06
7.072996930119964887e+00,-7.070451748699885464e+00,-8.095161269946061621e-05
7.072946209354911140e+00,-7.070515262618851438e+00,-3.421693556891454782e-05
7.072992909002382866e+00,-7.070454089816215593e+00,-1.099339362074428341e-04
7.073004286232003501e+00,-7.070469450043926685e+00,-1.337963370358426392e-04
7.073003768381036060e+00,-7.070486261768784253e+00,-2.195996403466488707e-04
7.073034936414034135e+00,-7.070504395917129870e+00,-1.010270238171877581e-04
7.073045115070486943e+00,-7.070388736965748322e+00,-2.537190733139820702e-04
7.073069793489242585e+00,-7.070433781277732699e+00,-2.918783280718691229e-04
7.073047135159830745e+00,-7.070387293165361520e+00,-2.443133706718380758e-04
7.073075812297838993e+00,-7.070463436782411293e+00,-2.614184365602904370e-04
7.073013429834580812e+00,-7.070430612720594254e+00,-3.101920127468739104e-04
7.073020668213680473e+00,-7.070350677770309566e+00,-4.401310927090765993e-04
7.073082811460155384e+00,-7.070358098335458585e+00,-5.206331750222918534e-04
7.072977707321082441e+00,-7.070286199984901820e+00,-5.679473863597415788e-04
7.072970264218362502e+00,-7.070300890087875878e+00,-5.091530506785603427e-04
7.073026563864519112e+00,-7.070276298540165705e+00,-5.543798805450360009e-04
7.073007763711856910e+00,-7.070238082257909618e+00,-7.016144162210328269e-04
7.073055112544169631e+00,-7.070231475778931518e+00,-7.304420098716108908e-04
7.073015389081049875e+00,-7.070213091796310856e+00,-6.488167877155866367e-04
7.073084801936024846e+00,-7.070170581055982062e+00,-7.278745144348306622e-04
7.073067692186396194e+00,-7.070172957007421211e+00,-7.910059941023266138e-04
7.073031624550910834e+00,-7.070222681332432479e+00,-8.013128171012571946e-04
7.073169676574961429e+00,-7.070263872101194558e+00,-7.446474867445157606e-04
7.073152990947741969e+00,-7.070233924165610695e+00,-7.522168188399480995e-04
7.073174537409722795e+00,-7.070213660635023878e+00,-7.495361423665693537e-04
7.073188374591281580e+00,-7.070198762370204726e+00,-6.524577524614073691e-04
7.073302938060604284e+00,-7.070183486307239917e+00,-6.058262330889529340e-04
7.073337051719025048e+00,-7.070231059354568970e+00,-5.916527837613084779e-04
7.073274649171091610e+00,-7.070229349549578046e+00,-5.571937078619622861e-04
7.073342517594253032e+00,-7.070290472385324598e+00,-4.747255771482370313e-04
7.073415040242156948e+00,-7.070225302335467532e+00,-5.994022858703705256e-04
7.073446755874814862e+00,-7.070152498125640506e+00,-6.757336682791407687e-04
7.073378648167718552e+00,-7.070088530714303765e+00,-5.747810654819337974e-04
7.073435396997162172e+00,-7.070048599203908601e+00,-5.523689790505352179e-04
7.073398416316200255e+00,-7.070008687764952171e+00,-4.018453003502419230e-04
7.073411325606311806e+00,-7.069979364297864777e+00,-3.331943837767317295e-04
7.073457621974235998e+00,-7.069986405030375565e+00,-3.563362476280856374e-04
7.073399948644811808e+00,-7.069931517953979672e+00,-4.294296483806588939e-04
7.073380779518666728e+00,-7.069978350946766632e+00,-6.008685949596809760e-04
7.073444666596720332e+00,-7.070056129828556912e+00,-5.746544827960207904e-04
7.073420565501899127e+00,-7.070062055560740966e+00,-3.813021453040099564e-04
7.073384470024390858e+00,-7.070141225996758649e+00,-3.387382535399701550e-04
7.073352753588649122e+00,-7.069970867283569049e+00,-2.823511407837298558e-04
7.073340944999492841e+00,-7.069880126292876099e+00,-4.076370989983635167e-04
7.073295616729870616e+00,-7.069919185268346951e+00,-3.660082616493284206e-04
7.073269860624602501e+00,-7.069925708266385556e+00,-3.699493806858307910e-04
7.073300620849052756e+00,-7.069921526426133696e+00,-5.901072623992326387e-04
7.073359234412553320e+00,-7.069991518525371887e+00,-6.044574841308208036e-04
7.073372692139110463e+00,-7.070041577996851956e+00,-5.321858195484437722e-04
7.073352957699507115e+00,-7.070006622936670482e+00,-5.520776419960589550e-04
7.073314058537387261e+00,-7.069989085472056622e+00,-4.212378742228348356e-04
7.073394406934326639e+00,-7.069969526905100388e+00,-4.100461019774252671e-04
7.073432465963437998e+00,-7.070054527365403629e+00,-3.952997025541866993e-04
7.073502885481367741e+00,-7.070082511814839599e+00,-2.573720711963923841e-04
7.073470334581955399e+00,-7.070138097638393404e+00,-3.435795210220487454e-04
7.073591856687939661e+00,-7.070117394398952371e+00,-3.181208670146719406e-04
7.073513430235468746e+00,-7.070109942887316201e+00,-3.590353391643445660e-04
7.073491064988794541e+00,-7.070142901241170286e+00,-4.303890553488589482e-04
7.073548220688886445e+00,-7.070168232029220512e+00,-3.061061655892098783e-04
7.073523065672971732e+00,-7.070210470671401737e+00,-3.017357356467386450e-04
7.073660892370548403e+00,-7.070189076613856649e+00,-2.636749359329914645e-04
7.073692592803905832e+00,-7.070224852491898027e+00,-1.563314448147657548e-04
7.073636913179897512e+00,-7.070164643068897803e+00,-1.567967539097901274e-04
7.073675943169887681e+00,-7.070181128698107997e+00,-2.900295757177467210e-04
7.073684376279269159e+00,-7.070257627455066363e+00,-2.275788095720200806e-04
7.073645705122167726e+00,-7.070212661505509644e+00,-1.381588873283301575e-04
7.073588351842881927e+00,-7.070213739120251084e+00,-5.754288881397473000e-05
7.073616724079252904e+00,-7.070087717820983997e+00,-7.077738357575921214e-05
7.073590997692336124e+00,-7.070073203195256895e+00,-9.419238937358729614e-05
7.073691158819000790e+00,-7.070064699707822697e+00,-2.023086811460629488e-04
7.073779094949094848e+00,-7.070064027090599446e+00,-1.302343303321604022e-04
7.073871868429915111e+00,-7.070125491605787182e+00,-1.478106737884904518e-04
7.073957865574763026e+00,-7.070082605425824340e+00,-1.709768410916648329e-04
7.073936554287044487e+00,-7.070082725873233720e+00,-2.567796905282467273e-04
7.073931399713897505e+00,-7.070015061179941718e+00,-1.175404639230418716e-04
7.073979408713714001e+00,-7.070014498109760126e+00,-1.301331522784818662e-04
7.073990321066735198e+00,-7.070024303903268859e+00,-1.941274310265923408e-04
7.073983404205399950e+00,-7.070101480217552137e+00,-2.597017388681868884e-04
7.073920087257438816e+00,-7.070002238644852888e+00,-2.089866081039673355e-04
7.073824188689687098e+00,-7.070071043995767468e+00,-1.537947123321221736e-04
7.073850478965797883e+00,-7.070162443167966160e+00,-1.116357062727790957e-04
7.073878829660718459e+00,-7.070072324598974056e+00,2.565471261661541116e-05
7.073940931676284904e+00,-7.070086426959350412e+00,1.766323071938869990e-05
7.073997034931562844e+00,-7.070202848253983596e+00,1.656059876245696751e-04
